iter	Passed	Remaining
619	1127	690
620	1128	688
621	1129	686
622	1130	683
623	1131	681
624	1132	679
625	1133	677
626	1134	674
627	1135	672
628	1136	670
629	1137	668
630	1138	665
631	1139	663
632	1140	661
633	1141	658
634	1142	656
635	1143	654
636	1144	651
637	1144	649
638	1145	647
639	1146	645
640	1147	642
641	1148	640
642	1149	638
643	1150	635
644	1151	633
645	1151	631
646	1152	629
647	1153	626
648	1154	624
649	1155	622
650	1156	620
651	1157	617
652	1158	615
653	1159	613
654	1160	611
655	1161	609
656	1162	606
657	1163	604
658	1164	602
659	1165	600
660	1166	598
661	1167	595
662	1167	593
663	1169	591
664	1170	589
665	1171	587
666	1171	585
667	1172	582
668	1174	580
669	1175	578
670	1176	576
671	1177	574
672	1178	572
673	1179	570
674	1180	568
675	1181	566
676	1182	564
677	1183	561
678	1184	559
679	1185	557
680	1186	555
681	1188	554
682	1189	551
683	1190	549
684	1191	547
685	1192	545
686	1192	543
687	1193	541
688	1194	539
689	1195	537
690	1196	535
691	1197	532
692	1198	530
693	1199	529
694	1200	526
695	1201	524
696	1202	522
697	1203	520
698	1204	518
699	1205	516
700	1206	514
701	1207	512
702	1208	510
703	1209	508
704	1210	506
705	1211	504
706	1211	502
707	1212	500
708	1214	498
709	1215	496
710	1216	494
711	1217	492
712	1218	490
713	1219	488
714	1220	486
715	1221	484
716	1222	482
717	1223	480
718	1224	478
719	1225	476
720	1225	474
721	1226	472
722	1227	470
723	1229	468
724	1230	466
725	1231	464
726	1232	462
727	1233	460
728	1233	458
729	1234	456
730	1235	454
731	1236	452
732	1237	450
733	1238	448
734	1239	446
735	1240	444
736	1241	442
737	1242	441
738	1243	439
739	1244	437
740	1245	435
741	1247	433
742	1248	431
743	1249	429
744	1249	427
745	1250	425
746	1251	423
747	1252	421
748	1253	420
749	1254	418
750	1255	416
751	1256	414
752	1257	412
753	1258	410
754	1259	408
755	1260	406
756	1261	404
757	1262	402
758	1262	401
759	1263	399
760	1264	397
761	1265	395
762	1266	393
763	1267	391
764	1268	389
765	1268	387
766	1269	385
767	1270	383
768	1271	382
769	1272	380
770	1273	378
771	1274	376
772	1275	374
773	1276	372
774	1277	370
775	1278	368
776	1279	367
777	1280	365
778	1281	363
779	1281	361
780	1282	359
781	1283	357
782	1284	355
783	1285	354
784	1286	352
785	1287	350
786	1287	348
787	1289	346
788	1289	344
789	1290	343
790	1291	341
791	1292	339
792	1293	337
793	1294	335
794	1295	334
795	1296	332
796	1297	330
797	1298	328
798	1298	326
799	1299	324
800	1300	323
801	1301	321
802	1302	319
803	1303	317
804	1304	316
805	1305	314
806	1306	312
807	1307	310
808	1308	308
809	1309	307
810	1310	305
811	1311	303
812	1311	301
813	1312	299
814	1313	298
815	1314	296
816	1315	294
817	1316	292
818	1317	291
819	1318	289
820	1319	287
821	1320	285
822	1320	284
823	1321	282
824	1322	280
825	1323	278
826	1324	277
827	1325	275
828	1326	273
829	1327	271
830	1328	270
831	1329	268
832	1330	266
833	1331	264
834	1331	263
835	1332	261
836	1333	259
837	1334	258
838	1335	256
839	1337	254
840	1338	253
841	1339	251
842	1340	249
843	1341	247
844	1341	246
845	1342	244
846	1343	242
847	1344	241
848	1345	239
849	1346	237
850	1347	235
851	1348	234
852	1349	232
853	1350	230
854	1351	229
855	1352	227
856	1353	225
857	1354	224
858	1355	222
859	1355	220
860	1356	219
861	1357	217
862	1358	215
863	1359	214
864	1360	212
865	1361	210
866	1362	208
867	1363	207
868	1364	205
869	1365	203
870	1366	202
871	1367	200
872	1368	199
873	1368	197
874	1369	195
875	1371	194
876	1372	192
877	1373	190
878	1374	189
879	1375	187
880	1377	186
881	1379	184
882	1380	182
883	1380	181
884	1381	179
885	1382	177
886	1383	176
887	1384	174
888	1385	172
889	1386	171
890	1387	169
891	1387	168
892	1388	166
893	1389	164
894	1390	163
895	1391	161
896	1392	159
897	1393	158
898	1394	156
899	1395	155
900	1395	153
901	1396	151
902	1397	150
903	1399	148
904	1400	146
905	1401	145
906	1402	143
907	1403	142
908	1404	140
909	1405	139
910	1406	137
911	1407	135
912	1408	134
913	1409	132
914	1410	130
915	1411	129
916	1412	127
917	1413	126
918	1414	124
919	1415	123
920	1416	121
921	1417	119
922	1418	118
923	1418	116
924	1419	115
925	1420	113
926	1421	111
927	1422	110
928	1423	108
929	1424	107
930	1425	105
931	1426	104
932	1427	102
933	1429	100
934	1429	99
935	1431	97
936	1432	96
937	1433	94
938	1433	93
939	1434	91
940	1435	90
941	1436	88
942	1437	86
943	1438	85
944	1439	83
945	1440	82
946	1441	80
947	1442	79
948	1442	77
949	1443	75
950	1444	74
951	1445	72
952	1446	71
953	1447	69
954	1448	68
955	1449	66
956	1450	65
957	1451	63
958	1452	62
959	1453	60
960	1454	59
961	1455	57
962	1457	55
963	1458	54
964	1459	52
965	1459	51
966	1460	49
967	1461	48
968	1462	46
969	1463	45
970	1464	43
971	1465	42
972	1466	40
973	1467	39
974	1469	37
975	1470	36
976	1471	34
977	1472	33
978	1473	31
979	1474	30
980	1476	28
981	1477	27
982	1478	25
983	1479	24
984	1480	22
985	1481	21
986	1482	19
987	1483	18
988	1485	16
989	1486	15
990	1487	13
991	1488	12
992	1489	10
993	1490	8
994	1491	7
995	1492	5
996	1493	4
997	1494	2
998	1496	1
999	1497	0
